Başlık;Platform;Görsel URL;Link;Açıklama;Tarih;Hashtag
Yeni yıl, yeni tarifler, yeni hayaller;Instagram;images/reel_DEPSAQWg4Lv.jpg;https://www.instagram.com/reel/DEPSAQWg4Lv/;"Yeni yıl, yeni tarifler, yeni hayaller♥️
Her tabakta mutluluğu paylaşalım, her sofrada sevdiklerimizle gülelim🙏🏻
2025 hepimize sağlık, huzur, mutluluk ve ilham dolu bir yıl getirsin🙏🏻 
İyi ki varsınız, birlikte daha nice güzel yıllara🥂

#handeninsofrası #yılbaşısofrası #peynirtabağı #christmas #cheeseboard";31.12.2025;#handeninsofrası #yılbaşısofrası #peynirtabağı #christmas #cheeseboard
Sadece havucun rengini değiştirin, sofranız değ...;Instagram;images/post_DQ9lUyMjNI-.jpg;https://www.instagram.com/p/DQ9lUyMjNI-/;"Sadece havucun rengini değiştirin, sofranız değişsin.

Havuç Tarator
Havuç mor  3 adet
Süzme yoğurt 2-3 yemek kaşığı 
Sarımsak 1/2 diş
Tuz 1/2 çay kaşığı
Zeytinyağı 4-5 yemek kaşığı 
Ceviz 1 avuç
Çörek otu 1 çay kaşığı 

*Havucun kabuklarını soyun, rendeleyin.
*Tavaya zeytinyağı ve rendelenmiş havuçları koyun, orta ateşte 3-4 dk pişirin.
 *Yumuşayan havuçları tabağa alın, 1-2 kaşık kadarını tavada bırakın, üzerine ceviz ekleyin ve 1 dk daha kavurun.
*Süzme yoğurt, tuz, sarımsak rendesi ve biraz içme suyu ekleyip yoğurdu karıştırın.
*Sotelenen havuçlarla yoğurdu ekleyin, karıştırın ve servis tabağına alın.
*Üzerine ayırdığınız rende havuç ve cevizleri ekleyin.
*Son olarak biraz çörek otu ve zeytinyağı gezdirin.
Afiyet olsun.

#handeninsofrası #meze";11.12.2025;#handeninsofrası #meze
Sofra kurmak artık zor değil;Instagram;images/reel_DOgXjUGjBgm.jpg;https://www.instagram.com/reel/DOgXjUGjBgm/;"Sofra kurmak artık zor değil. Ana yemek ve yanına ne yapacağına karar verdikten sonrasını dert etme.Bunu seçerken de biri zorlarken diğeri bildiğin yerden olması seni rahatlatır. Yani bu menüde belki kuzudan çekineceksin ama şehriye pilavı bildiğin gibi.
Kuzu kokusu sevmeyene püf nokta azıcık pekmezle marine edip pişirirsen o keskinliği azaltırsın. 

Kuzu Külbastı
Kuzu külbastı 4-6 dilim
Zeytinyağı 4-5 yemek kaşığı
Pekmez 1 yemek kaşığı
Tuz 1 çay kaşığı
Karabiber 1/2 çay kaşığı
Sarımsak 1 diş
Kişniş tohumu 1 çay kaşığı (yoksa şart değil)
Kekik 1 çay kaşığı
Tereyağı 1 yemek kaşığı
Limon kabuğu

*Tereyağı hariç tüm malzemeyi kuzunun üzerine ekleyin.
*Sarımsağı rendeleyin, kişnişi de havanda ezin.
*Kuzu beklerken diğer hazırlıkları yapın.
*Şehriyeli pilav için soğan, sarımsak ve chili biberi ince ince doğrayın.
*Zeytinyağı ekleyin ve soteleyin.
*Mantarı çok küçük olmayacak şekilde dilimleyin.
*Sotelenen soğanın üzerine ekleyin ve bir iki tur çevirin.
*Üzerine şehriyeyi ilave edin ve karıştırmaya devam edin.
*İlikli kemik suyunu ve sıcak suyu şehriyenin üzerine ekleyin.
*1 su bardağı şehriye için 1,5 su bardağı su (su+ilikli kemik suyu)
*Tuzunu, kekiğini verip kısık ateşte pişirmeye başlayın.
*Suyunu çekmeye yaklaşınca rende eski kaşar ve tereyağı ekleyin.
*Son olarak doğranmış maydanoz ilave edin ve servis yapın.

*Kuzu külbastı için tavayı ısıtın.
*Hızlı pişer o yüzden son anda yapın.
*Isınan tavaya etleri ekleyin ve her iki tarafını da kızartın.
*Bu süre 3-4 dkyı geçmesin.
*Tavayı ateşten biraz uzaklaştırın, içine tereyağı ekleyin.
*Akan yağları kaşıkla yukarıda kalan etlerin üzerine gezdirin.
*Böylece hem direk ateşte olmaz hem de tereyağının ısısıyla üstten de pişmeyi sürdürür.
*Servis tabağına alın ve kalan sosu üzerine gezdirin.

Afiyet olsun.

#handeninsofrası #menü #etyemekleri #orzo";9.12.2025;#handeninsofrası #menü #etyemekleri #orzo
Glutensiz beslenenler ya da protein alımına dik...;Instagram;images/reel_DKzjB8UoHty.jpg;https://www.instagram.com/reel/DKzjB8UoHty/;"Glutensiz beslenenler ya da protein alımına dikkat edenler için alternatif olacak bir tarifle geldim.
Bugün tam 1 ay oldu gluten tüketmediğim. Abartmasam da ara ara tamamen tüketimi durduruyorum. Böyle zamanlara da ekmek ve böreğe alternatif lezzetler gerekli oluyor. Önceki tarifi biliyorsunuz kahvaltıya hızlıca poğaçamsı bir tuzlu kek yapmıştım. Şimdiki tarif de yanına sadece bir salatayla sade bir öğlen yemeği seçeneği oldu. 

Tarife yol göstermek benden fikirler sizden gelsin. @raaz.natural ‘de bulunan çeşit çeşit bakliyat unlarını kullanarak tarifinizi yapmaya başlayabilirsiniz.

Bakliyat Unlu Böreğimsi
Yoğurt 2-3 yemek kaşığı (yoğurt suyu varsa ekleyin)
Zeytinyağı ½ su bardağu
Maş fasulyesi unu 1 su bardağı 
Mısır unu 1 su bardağı ( azar azar ekleyin)
Tuz 1 çay kaşığı

İçi için;
Ispanak ya da pazı 
Peynir 1 kase
Yumurta 2 adet
Taze soğan 2-3 demet
Soğan 1 adet
Tuz 1 çay kaşığı
Karabiber 1 çay kaşığı
Yoğurt 1 yemek kaşığı

Üzeri için;
Susam
Çörekotu

*İçi için ıspanağı bol suda yıkayın, kurulayın ve kabaca doğrayın.
*Üzerine yumurta, yoğurt, kuru soğan, taze soğan, tuz ve karabiber ekleyin, karıştırın ve kenara alın.
*Hamuru için; zeytinyağı, yoğurt ve varsa yoğurt suyu, tuz, mısır unu ve maş fasulyesi ununu ialeve edin.
*Miktarları videodaki kıvama bakarak yapmanızı tavsiye ederim, çünkü yoğurt suyu ne kadar eklediğimi ölçmedim.
*Kabı yağlayın, önce harcın yarısını dökün.
*Üzerine ıspanakları ekleyin.
*Son olarak kalan harcı gezdirin.
*Biraz susam ve çörekotu ilave edin.
*180 derece önceden ısıtılmış fırında üzeri kızana kadar yaklaşık 40-50 dk pişirin.
Afiyet olsun.

#glutensiztarifler #bakliyatunu #handeninsofrası #işbirliği";6.12.2025;#glutensiztarifler #bakliyatunu #handeninsofrası #işbirliği
Glutensiz beslenenler ya da protein alımına dik...;Instagram;"https://images.unsplash.com/photo-1576045057995-568f588f82fb?w=400&h=400&fit=crop;";https://www.instagram.com/reel/DKzjB8UoHty/;"Glutensiz beslenenler ya da protein alımına dikkat edenler için alternatif olacak bir tarifle geldim.
Bugün tam 1 ay oldu gluten tüketmediğim. Abartmasam da ara ara tamamen tüketimi durduruyorum. Böyle zamanlara da ekmek ve böreğe alternatif lezzetler gerekli oluyor. Önceki tarifi biliyorsunuz kahvaltıya hızlıca poğaçamsı bir tuzlu kek yapmıştım. Şimdiki tarif de yanına sadece bir salatayla sade bir öğlen yemeği seçeneği oldu. 

Tarife yol göstermek benden fikirler sizden gelsin. @raaz.natural ‘de bulunan çeşit çeşit bakliyat unlarını kullanarak tarifinizi yapmaya başlayabilirsiniz.

Bakliyat Unlu Böreğimsi
Yoğurt 2-3 yemek kaşığı (yoğurt suyu varsa ekleyin)
Zeytinyağı ½ su bardağu
Maş fasulyesi unu 1 su bardağı 
Mısır unu 1 su bardağı ( azar azar ekleyin)
Tuz 1 çay kaşığı

İçi için;
Ispanak ya da pazı 
Peynir 1 kase
Yumurta 2 adet
Taze soğan 2-3 demet
Soğan 1 adet
Tuz 1 çay kaşığı
Karabiber 1 çay kaşığı
Yoğurt 1 yemek kaşığı

Üzeri için;
Susam
Çörekotu

*İçi için ıspanağı bol suda yıkayın, kurulayın ve kabaca doğrayın.
*Üzerine yumurta, yoğurt, kuru soğan, taze soğan, tuz ve karabiber ekleyin, karıştırın ve kenara alın.
*Hamuru için; zeytinyağı, yoğurt ve varsa yoğurt suyu, tuz, mısır unu ve maş fasulyesi ununu ialeve edin.
*Miktarları videodaki kıvama bakarak yapmanızı tavsiye ederim, çünkü yoğurt suyu ne kadar eklediğimi ölçmedim.
*Kabı yağlayın, önce harcın yarısını dökün.
*Üzerine ıspanakları ekleyin.
*Son olarak kalan harcı gezdirin.
*Biraz susam ve çörekotu ilave edin.
*180 derece önceden ısıtılmış fırında üzeri kızana kadar yaklaşık 40-50 dk pişirin.
Afiyet olsun.

#glutensiztarifler #bakliyatunu #handeninsofrası #işbirliği";6.12.2025;#glutensiztarifler #bakliyatunu #handeninsofrası #işbirliği
Güne başlangıç;Instagram;images/post_DF-X02FIV5h.jpg;https://www.instagram.com/p/DF-X02FIV5h/;"Güne başlangıç💙
Bol su, temiz hava ve sade bir kahvaltı.

🍽️ 🍳🥗🍋🥑
Avokado 
Yumurta
Salata (roka, maydanoz, dereotu, limon, tuz, turp)
Zeytin
Peynir 
Çay😍
Bazen meyve 

#morningroutine #breakfast #günebaşlarken";2.12.2025;#morningroutine #breakfast #günebaşlarken
Brokolinin en güzel hali tahinli yoğurtlu olanı;Instagram;images/reel_DRFQyIoDOL4.jpg;https://www.instagram.com/reel/DRFQyIoDOL4/;"Brokolinin en güzel hali tahinli yoğurtlu olanı. En eski tariflerimden biri, çoğunuz yapmıştır ama ben her brokoli mevsimi tekrarlamayı, hatırlatmayı seviyorum.

Tahinli Brokoli
Brokoli 1 bütün çiçek
Tuz 1 çay kaşığı
Zeytinyağı 2-3 yemek kaşığı

*Önceden ısıtılmış 180-200 derece arası sıcaklıkta yapın ki rengi bozulmasın. 20-30dk yeterli olacaktır.
Sosu;
Süzme yoğurt 2-3 yemek kaşığı
Tuz 1 çay kaşığı
Şeker 1 tutam
Tahin 2 yemek kaşığı
Sarımsak 1 diş
Üzeri için;
Tahin
Zeytinyağı
Çiğ kabak çekirdeği içi
*Tüm malzemeyi karıştırın biraz suyla kıvamını ayarlayın.
*Servis tabağına önce tahinli yoğurdu ardında üzerine fırınlanmış brokolileri servis yapın.

Balkabaklı Kinoa Salatası
Kinoa 1 su bardağı
Maydanoz 7-8 dal
Dereotu 7-8 dal
Taze soğan 1-2 adet
Balkabağı 
Soğan
Sosu için;
Tuz 1 çay kaşığı
Nar ekşisi 1-2 yemek kaşığı
Limon ½ adet
Zeytinyağı 5-6 yemek kaşığı
Üzeri için;
Nar

*Kinoayı bo suda yıkayın. 2 su bardağı sıcak suya kinoaları ekleyin, kaynadıktan sonra altını kısıp 15 dk pişirin. Demlenmeye bırakın.
*Balkabaklarını küp küp doğrayın ve fırın kabına alın.
*Tuz, zeytinyağı gezdirin ve önceden ısıtılmış 180 derece fırında üzeri kızarana kadar 20-30 dk pişirin.
*Tüm yeşillikleri doğrayın ve haşlanan kinoalara ekleyin.
*Sosu için gerekli olan tüm malzemeyi de ilave edin ve salatayı karıştırın.
*Servis tabağına alın, üzerine fırından çıkan balkabakları ve biraz nar ekleyin.
Afiyet olsun.
#handeninsofrası #kinoasalatası #salatalar";15.11.2025;#handeninsofrası #kinoasalatası #salatalar
Kasım ayında pazarda neler var.;Instagram;images/post_DRAMKj4jKMy.jpg;https://www.instagram.com/p/DRAMKj4jKMy/;"Kasım ayında pazarda neler var. 
Albümün yıldızı mantar 🍄‍🟫 peki sizin bölgede adına ne deniyor? 

#kasımsebzeleri #mevsimindebeslen";13.11.2025;#kasımsebzeleri #mevsimindebeslen
İtalyan yemeklerinin tacı benim için melenzane;Instagram;images/reel_DNN4WD-oZhk.jpg;https://www.instagram.com/reel/DNN4WD-oZhk/;"İtalyan yemeklerinin tacı benim için melenzane🫠
Domates sosu, mozzarella ve fesleğen aroması ile patlıcan başka bir lezzete bürünüyor. Beğeneceğinizi düşünüyorum kesin kaydedin, yaz bitmeden fırına verin👌

Melenzane

Patlıcan 4-5 adet
Mozzarella peyniri 1 top
Parmesan yoksa eski kaşar, tulum gibi
Fesleğen 1-2 dal
Un 3-4 yemek kaşığı
Tuz 1 tatlı kaşığı
Kızartmak için ayçiçek yağı ya da zeytinyağı 1 su bardağı

Sosu için;
Soğan 1 adet
Sarımsak 1 diş
Fesleğen 1-2 dal
Domates sos ya da rendelenmiş domates 3-4 su bardağı
Tuz 1 çay kaşığı
Karabiber ½ çay kaşığı
Zeytinyağı 3-4 yemek kaşığı

*Patlıcanları eşit kalınlıkla uzun şekilde dilimleyin.
*Mutfak bezi ya da havlu kağıda tek tek serin.
*Üzerine tuz serpin ve sosu hazırlayana kadar bekletin.
*Sosu için; soğan ve sarımsağı doğrayın, zeytinyağında soteleyin.
*Üzerine domates sos yada rendelenmiş domates ilave edin.
*Tuz, karabiber ve fesleğen ekleyip kısık ateşte pişirin.
*Sos pişerken ayrı bir tavaya yağ ekleyin.
*Patlıcanların üzerini bezle bastırın ki suyu çıksın.
*Ardından una bulayın iyice silkeleyin ve kızgın yağda kızartın.
*Kızaran patlıcanların yağını almak için havlu peçeteye alın.
*Bu adım daha sağlıklı olsun derseniz, fırın tepsisine patlıcanları dizin ve üzerine zeytinyağı gezdirip 180-200 derece fırında kızarana kadar yaklaşık 25-35 dk pişirin. 
*Tüm patlıcanları kızarttıktan sonra hazırız.
*Fırın tepsisine önce domates sos dökün.
*Üzerine 1 kat patlıcan 1 kat domates sos ve 1 kat mozzarella peyniri ekleyin ve son olarak taze fesleğen ve rende parmesan ilave edin.
*İkinci kat için tekrar patlıcan-domates sos-mozzarella peyniri-taze fesleğen- rende parmesan olacak şekilde ekleyin.
*Son kata sadece patlıcan-domates sos-rende parmesan-fesleğen ekleyin.
*Dilerseniz malzemeniz az gelirse ya da kabınız büyük olursa tek kat peynir olarak da yapabilirsiniz.
*Önceden ısıtılmış 180 derece fırında üzeri kızarana kadar yaklaşık 30-35 dk pişirin.
*Servis yaparken o ilk sıcağının bitmesini bekleyin peynirler yakmasın.
Afiyet olsun.
#handeninsofrası #melenzane #fırınpatlıcan #yazsofrası #italianfood";8.11.2025;#handeninsofrası #melenzane #fırınpatlıcan #yazsofrası #italianfood
Kömürde pişen köftenin lezzeti büyüktür diğerleri;Instagram;images/reel_DL9wIHnoHPm.jpg;https://www.instagram.com/reel/DL9wIHnoHPm/;"Kömürde pişen köftenin lezzeti büyüktür diğerleri:)

Patates 3-4 adet
Tuz 1 çay kaşığı
Tereyağı 1 yemek kaşığı
Zeytinyağı 1-2 yemek kaşığı
Karabiber 1 çay kaşığı
İsli toz biber 1 çay kaşığı
Sarımsak 2 diş

*Patatesi kabuğuyla birlikte haşlayın.
*Haşlarken çok az tuz ekleyin.
*Haşlanınca dilediğiniz boyda dilimleyin.
*Döküm ya da ısıya dayanıklı bir kaba alın.
*Üzerine bütün halde sarımsak, tuz, karabiber ve isli toz biber ekleyin.
*Kömürün önce üzerine sonra biraz uzağına alın ve çıtırdamasını sağlayın.
*Kabular kızarıp kumpir gibi olunca hazır.

Dondurucu için köfte hazırlığı✔️
1,5-2kg kıymadan toplu halde yapıyorum. 1-2 ay rahatım.
🙌
Kıyma için kasap önemli, güvendiğiniz bir kasaptan alın.
Kıymayı dolapta bekletmeden direk aldığınız gün köfteyi hazırlayın. Bekledikçe kanı sulanır ve lezzetini  etkiler.
✍️
Kıyma 1,5-2kg
1 büyük kuru soğan
Tuz 2-3 tatlı kaşığı
Kimyon 1 tatlı kaşığı
Karabiber 1 tatlı kaşığı
Nane 1 tatlı kaşığı
Kekik 1 tatlı kaşığı
Kabartma tozu 1/2 paket
Maden suyu 1/2 şişe
Bayat ekmek 2-3 dilim ya da galeta unu 3-4 yemek kaşığı

*Soğanı rendeleyin, suyunu sıkın kıymaya ekleyin.
*Soğanın suyunda bayat ekmeği ıslatın, suyunu sıkın kıymaya ilave edin ya da galeta unu kullanın.
*Tüm baharatları ekleyin.
*Kabartma tozu üzerine biraz maden suyu ilave edin, karıştırın.
*Maden suyunu azar azar ekleyin ki kıymayı bozmasın.
*Karıştırdıktan sonra, vurarak fazla yağını çıkarın.
*Buzdolabında 30 dk dinlendirin. Minik bir “tuzu yerinde mi?” tadımı için köfte pişirin.
*Şekil verip porsiyonlayın.
*Derin dondurucuya kaldırın.

Köz Salata
Patlıcan -2 adet
Kırmızı biber 1-2 adet
Yeşil biber 3-4 adet
Kırmızı soğan 1 adet

Sosu için;
Sarımsak ½ diş
Tuz ½ çay kaşığı
Limon ½ adet
Zeytinyağı 4-5 yemek kaşığı

Üzeri için;
Erzincan tulum peyniri

*Patlıcan, soğan ve biberleri közleyin, kabukları soyun, doğrayın.
*Servis tabağına közlenen sebzeleri alın ve üzerine sopsu için gerekli tüm malzemeleri ekleyin.
*Son olarak Erzincan tulum peyniri ialve edin.

Afiyet olsun.
#handeninsofrası #bbq #mangal #ızgaraköfte #patates #salata";7.11.2025;#handeninsofrası #bbq #mangal #ızgaraköfte #patates #salata
